Date	mean_groundwater
2006-03-31	-22.15888888888889
2006-04-30	-21.926666666666666
2006-05-31	-21.902741935483874
2006-06-30	-22.405741379310342
2006-07-31	-23.673387096774192
2006-08-31	-23.93225806451613
2006-09-30	-24.421
2006-10-31	-25.002559139784942
2006-11-30	-25.46183333333333
2006-12-31	-26.069247311827958
2007-01-31	-26.72
2007-02-28	-27.073392857142856
2007-03-31	-26.73887096774193
2007-04-30	-26.586833333333335
2007-05-31	-26.304720430107526
2007-06-30	-26.9835
2007-07-31	-28.46274193548387
2007-08-31	-29.383870967741935
2007-09-30	-30.096402298850577
2007-10-31	-30.344677419354838
2007-11-30	-30.452666666666666
2007-12-31	-30.691333333333333
2008-01-31	-30.829193548387096
2008-02-29	-30.991379310344826
2008-03-31	-30.95806451612903
2008-04-30	-30.523833333333332
2008-05-31	-30.393833333333333
2008-06-30	-30.535833333333333
2008-07-31	-31.335967741935484
2008-08-31	-32.237096774193546
2008-09-30	-32.577333333333335
2008-10-31	-32.87935483870967
2008-11-30	-33.085
2008-12-31	-32.60322580645162
2009-01-31	-30.891129032258064
2009-02-28	-29.634107142857143
2009-03-31	-28.77225806451613
2009-04-30	-27.982666666666667
2009-05-31	-27.76193548387097
2009-06-30	-27.844666666666665
2009-07-31	-28.056612903225805
2009-08-31	-28.497580645161293
2009-09-30	-28.771833333333333
2009-10-31	-29.105645161290322
2009-11-30	-29.384333333333334
2009-12-31	-29.586129032258064
2010-01-31	-29.163548387096775
2010-02-28	-28.489642857142854
2010-03-31	-27.491451612903226
2010-04-30	-26.452666666666666
2010-05-31	-25.811612903225807
2010-06-30	-25.564500000000002
2010-07-31	-26.401129032258062
2010-08-31	-26.729193548387098
2010-09-30	-26.770666666666667
2010-10-31	-26.744032258064518
2010-11-30	-26.634500000000003
2010-12-31	-25.955
2011-01-31	-24.57709677419355
2011-02-28	-23.792678571428574
2011-03-31	-23.58467741935484
2011-04-30	-23.442833333333333
2011-05-31	-23.60258064516129
2011-06-30	-23.847499999999997
2011-07-31	-24.671774193548387
2011-08-31	-25.19516129032258
2011-09-30	-25.883666666666663
2011-10-31	-26.365000000000002
2011-11-30	-26.968
2011-12-31	-27.41032258064516
2012-01-31	-27.869354838709675
2012-02-29	-28.46448275862069
2012-03-31	-28.82677419354839
2012-04-30	-29.13233333333333
2012-05-31	-29.00016129032258
2012-06-30	-29.246199999999998
2012-07-31	-31.444137931034483
2012-08-31	-33.12822580645161
2012-09-30	-33.555
2012-10-31	-33.95177419354839
2012-11-30	-33.662
2012-12-31	-32.18451612903226
2013-01-31	-30.517258064516128
2013-02-28	-28.768035714285716
2013-03-31	-27.167701612903226
2013-04-30	-25.202559523809526
2013-05-31	-23.900645161290324
2013-06-30	-22.963833333333334
2013-07-31	-22.48177419354839
2013-08-31	-22.92435483870968
2013-09-30	-23.143833333333333
2013-10-31	-23.068064516129034
2013-11-30	-22.945666666666668
2013-12-31	-22.29516129032258
2014-01-31	-21.85467741935484
2014-02-28	-21.33214285714286
2014-03-31	-20.04290322580645
2014-04-30	-19.67409523809524
2014-05-31	-19.73741935483871
2014-06-30	-20.192166666666665
2014-07-31	-20.722258064516126
2014-08-31	-21.07532258064516
2014-09-30	-21.336166666666667
2014-10-31	-21.548709677419353
2014-11-30	-21.68716666666667
2014-12-31	-21.54806451612903
2015-01-31	-21.347258064516126
2015-02-28	-21.24589285714286
2015-03-31	-20.913225806451614
2015-04-30	-20.594333333333335
2015-05-31	-20.410322580645165
2015-06-30	-20.674333333333337
2015-07-31	-21.63758064516129
2015-08-31	-22.281774193548387
2015-09-30	-22.656333333333336
2015-10-31	-22.843064516129033
2015-11-30	-23.256166666666665
2015-12-31	-23.546612903225807
2016-01-31	-23.856129032258067
2016-02-29	-24.21396551724138
2016-03-31	-24.26806451612903
2016-04-30	-24.4015
2016-05-31	-24.286451612903225
2016-06-30	-23.85216666666667
2016-07-31	-24.27225806451613
2016-08-31	-24.70741935483871
2016-09-30	-24.5775
2016-10-31	-24.37548387096774
2016-11-30	-24.09616666666667
2016-12-31	-23.70258064516129
2017-01-31	-23.761290322580646
2017-02-28	-23.52107142857143
2017-03-31	-23.36467741935484
2017-04-30	-23.249833333333335
2017-05-31	-23.345806451612905
2017-06-30	-24.647333333333336
2017-07-31	-25.61064516129032
2017-08-31	-26.600161290322582
2017-09-30	-26.855833333333333
2017-10-31	-27.260161290322582
2017-11-30	-27.6645
2017-12-31	-27.745
2018-01-31	-27.432096774193546
2018-02-28	-27.151249999999997
2018-03-31	-26.415
2018-04-30	-24.829833333333333
2018-05-31	-23.835483870967742
2018-06-30	-23.6475
2018-07-31	-24.638387096774196
2018-08-31	-25.177096774193547
2018-09-30	-25.41583333333333
2018-10-31	-25.806612903225805
2018-11-30	-25.87766666666667
2018-12-31	-26.31596774193548
2019-01-31	-26.625
2019-02-28	-26.378571428571426
2019-03-31	-25.955833333333338
2019-04-30	-25.600833333333334
2019-05-31	-25.495483870967742
2019-06-30	-25.507999999999996
2019-07-31	-26.17709677419355
2019-08-31	-26.483387096774194
2019-09-30	-26.711833333333335
2019-10-31	-27.03983870967742
2019-11-30	-26.757833333333334
2019-12-31	-26.2241935483871
2020-01-31	-25.72725806451613
2020-02-29	-25.39241379310345
2020-03-31	-25.067678571428573
2020-04-30	-24.975344827586206
2020-05-31	-24.86806451612903
2020-06-30	-25.04083333333333
